ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
2953,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Missing,Verpackt,2023-01-26,1
2954,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Grüne Bohne tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-06-26,6
2955,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Geröstet,Kunststoff/-folie,2023-11-15,11
2956,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-09-19,9
2957,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Getrocknet,Kunststoff/-folie,2023-06-05,6
2958,1,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Kunststoff/-folie,2023-10-11,10
2959,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Marktstand,Deutschland,Keine Angabe,Karton/Pappe,2023-07-05,7
2961,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Großhändler von Obst und Gemüse und -erzeugnissen,Niederlande,Unverarbeitet/roh,Kunststoff/-folie,2023-04-12,4
2963,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 550,Mühlenbetrieb,Deutschland,Gemahlen/geschrotet,Papier,2023-09-12,9
2964,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Kunststoff/-folie,2023-06-21,6
2965,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Großhändler von Obst und Gemüse und -erzeugnissen,Türkei,Keine Angabe,Kunststoff/-folie,2023-02-28,2
2966,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Keine Angabe,2023-10-25,10
2967,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel früh,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-07-17,7
2968,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Großhändler von Fleisch und Fleischerzeugnissen,Deutschland,Keine Angabe,Keine Angabe,2023-10-18,10
2969,0,Monitoring-Projektprobe,Tees und teeähnliche Erzeugnisse,Mischungen teeähnlicher Erzeugnisse,Drogerie/Parfümerie,Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-03-10,3
2970,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Saudi-Arabien,Verzehrsfähig vor-/zubereitet,Kunststoff/-folie,2023-08-09,8
2972,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier dunkel untergärig,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Missing,Verpackt,2023-04-04,4
2973,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Drogerie/Parfümerie,Deutschland,Keine Angabe,Kunststoffverbundfolie,2023-09-05,9
2974,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Einzelhändler,Belgien,Unverarbeitet/roh,Keine Angabe,2023-09-04,9
2975,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier hell untergärig,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Glas,2023-08-23,8
2976,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Speisegaststätte,Deutschland,Geröstet,Verpackt,2023-11-30,11
2977,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Deutschland,Keine Angabe,Kunststoff/-folie,2023-10-09,10
2979,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Großhändler von Fisch Krusten- Schalen- Weichtieren und -erzeugnissen,Bangladesch,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-03-22,3
2980,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-11-13,11
2982,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Deutschland,Keine Angabe,Keine Angabe,2023-07-05,7
2983,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Papier,2023-07-31,7
2984,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Unverarbeitet/roh,Unverpackt,2023-10-16,10
2985,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-06-27,6
2986,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Stück,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Ohne Haut,Kunststoff/-folie,2023-05-22,5
2987,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmitteleinzelhandel,"Indien, einschl. Sikkim und Goa",Getrocknet,Kunststoff/-folie,2023-11-21,11
2989,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-07-25,7
2990,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Sauerkirsche tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Serbien,Keine Angabe,Wachspapier/-karton,2023-03-15,3
2991,0,Monitoring-Projektprobe,Milch,Vollmilch hocherhitzt standardisiert,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Verbundmaterial,2023-05-02,5
2992,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Spanien,Unverarbeitet/roh,Unverpackt,2023-09-19,9
2993,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmitteleinzelhandel,Deutschland,Keine Angabe,Keine Angabe,2023-02-06,2
2994,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Fleischerei/Metzgerei ohne Schlachthaus,Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-26,9
2995,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-08,2
2996,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Konditorei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-03-07,3
2997,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn gemahlen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Österreich,Gemahlen/geschrotet,Kunststoff/-folie,2023-07-11,7
2998,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Glas farblos,2023-08-01,8
2999,0,Monitoring-Planprobe,Fischerzeugnisse,Schlankwels auch Stücke küchenmäss. vorber. auch tiefgefr.,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Vietnam,Keine Angabe,Keine Angabe,2023-11-07,11
3000,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-01-30,1
3001,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Tierkörper ganzer Ente auch tiefgefroren,Einzelhändler,Deutschland,Keine Angabe,Keine Angabe,2023-04-05,4
3002,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Brotfabrik/Großbäckerei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-01-31,1
3003,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Unverpackt,2023-01-10,1
3004,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Großhändler von Getreide und -erzeugnissen,Deutschland,Getrocknet,Kunststoff/-folie,2023-01-11,1
3005,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Ohne Haut,Kunststoff/-folie,2023-04-04,4
3006,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Ohne Haut,Verpackt,2023-01-12,1
3007,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-03-14,3
3008,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-07-18,7
3010,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittellager Zentrallager,Ungeklärt,Gemahlen/geschrotet,Kunststoff/-folie,2023-05-05,5
3011,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Internethandel Versandhandel Fernabsatz,Kasachstan,Gemahlen/geschrotet,Verpackt,2023-11-15,11
3012,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Aprikose getrocknet,Drogerie/Parfümerie,Deutschland,Geschwefelt,Keine Angabe,2023-04-19,4
3013,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier hell untergärig,Getränkeabholmarkt,Deutschland,Gegoren/fermentiert,Glas,2023-05-25,5
3014,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-03-30,3
3015,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier Pils,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gegoren/fermentiert,Glas,2023-05-30,5
3016,0,Monitoring-Projektprobe,Käse,Parmigiano Reggiano Hartkäse andere,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Unverpackt,2023-09-06,9
3018,0,EG(KKP)- und Monitoring-Planprobe,Getreide,Roggenkörner,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Papier,2023-08-15,8
3019,0,Monitoring-Planprobe,Käse,Blauschimmelkäse Doppelrahmstufe,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gereift mit Schimmelkulturen,Kombinationsverpackung aus Pappe und Folie,2023-05-24,5
3021,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Algerien,Keine Angabe,Keine Angabe,2023-02-15,2
3022,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Großhändler von Obst und Gemüse und -erzeugnissen,Niederlande,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-06-05,6
3023,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Belgien,Keine Angabe,Kunststoff/-folie,2023-04-03,4
3024,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-05-09,5
3025,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Importeure,"China, einschl. Tibet",Ohne Haut,Kunststoff/-folie,2023-02-16,2
3026,0,Monitoring-Planprobe,Getreide,Roggenkörner,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Verpackt,2023-08-10,8
3027,0,EG(KKP)- und Monitoring-Planprobe,Getreide,Reis ungeschliffen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-08-23,8
3028,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Keule Lamm/Schaf auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Vereinigtes Königreich,Keine Angabe,Kombinationsverpackung aus Styropor und Folie,2023-02-14,2
3029,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Keine Angabe,2023-01-31,1
3030,0,EG(KKP)- und Monitoring-Planprobe,Fischerzeugnisse,Schlankwels auch Stücke küchenmäss. vorber. auch tiefgefr.,Großhändler von Fleisch und Fleischerzeugnissen,Spanien,Ohne Haut,Kunststoff/-folie,2023-07-10,7
3032,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Kenia,Entsteint/entstielt,Verpackt,2023-08-02,8
3033,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Keine Angabe,2023-05-16,5
3035,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Verpackt,2023-09-12,9
3036,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Tierkörper ganzer Ente auch tiefgefroren,Speisegaststätte,Niederlande,Unverarbeitet/roh,Kunststoff/-folie,2023-05-08,5
3037,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-09-12,9
3038,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Unverpackt,2023-11-21,11
3039,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Marokko,Unverarbeitet/roh,Keine Angabe,2023-06-26,6
3040,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kombinationsverpackung aus Pappe und Folie,2023-01-30,1
3041,0,EG(KKP)- und Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Folgemilch für Säuglinge,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Verzehrsfertig/tischfertig vor-/zubereitet,Keine Angabe,2023-02-15,2
3042,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Bangladesch,Tiefgekühlt/tiefgefroren,Verpackt,2023-07-18,7
3043,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittellager Zentrallager,Griechenland,Keine Angabe,Keine Angabe,2023-03-14,3
3044,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Miesmuschelerzeugnisse,Herstellungsbetrieb für Hackfleisch,Chile,Thermisch gegart,Keine Angabe,2023-06-29,6
3045,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Grüne Bohne tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Belgien,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-06-26,6
3046,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Einzelhändler,Österreich,Keine Angabe,Kunststoff/-folie,2023-04-04,4
3047,0,EG(KKP)- und Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung PRE,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Getrocknet | Verzehrsfertig/tischfertig vor-/zubereitet,Kunststoff/-folie,2023-06-16,6
3048,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Chile,Getrocknet,Verpackt,2023-09-25,9
3049,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Algerien,Keine Angabe,Polypropylen,2023-11-06,11
3050,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Großhändler von Obst und Gemüse und -erzeugnissen,Spanien,Missing,Verpackt,2023-09-22,9
3052,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Entsteint/entstielt,Verpackt,2023-12-06,12
3053,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittellager Zentrallager,Italien,Keine Angabe,Kunststoff/-folie,2023-05-09,5
3054,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Prawns (Aristeomorpha sp.),Großhändler von Fleisch und Fleischerzeugnissen,Vietnam,Keine Angabe,Keine Angabe,2023-03-22,3
3055,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Keine Angabe,2023-04-26,4
3056,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kombinationsverpackung aus Pappe und Folie,2023-07-05,7
3057,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Papier,2023-07-05,7
3058,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Brust Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Tiefgekühlt/tiefgefroren,Verpackt,2023-10-11,10
3059,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Kunststoff/-folie,2023-08-23,8
3060,0,Monitoring-Projektprobe,Gewürze,Süßholzwurzel Wurzelgewürz,Reformhaus/Naturkostladen,Ungeklärt,Zerkleinert,Papier,2023-01-11,1
3061,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Keine Angabe,Spanien,Unverarbeitet/roh,Keine Angabe,2023-02-22,2
3062,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-06-05,6
3063,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Mühlenbetrieb,Deutschland,Gemahlen/geschrotet,Papier,2023-07-20,7
